// ACTIVE MODULES ;					---------;							---------;							---------;					---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							;									;									;									;									;									
//0;								1 ITEM ID;							2 ITEM NAME;						3 ITEM TYPE;				4 ITEM CLASS;						5 SUB CLASS;						6 icon image;						7 BASE SIZE;						8 BASE PRICE;						9 PREFAB ID;						10 ITEM LEVEL;						11 AMMO PREFAB ID;					12 STACKABLE ITEM;					13 CYCLE RATE;						14 TURN SPEED;						15 MAX RANGE;						16 MOBLITY RANGE;					17 PROJECTILE SPEED;				18 ENERGY USAGE;					19 DURABILITY POINTS;				20 BASE DAMAGE;						21 SPECIAL ABILITIES;				22 ITEM DESCRIPTION;				;									;									;									;									;									
MODULE;								1002;								Generic Single 20mm Gun;			Active Module;				20mm Turret;						GUN;								gun_2.png;							10;									1200;								1;									1;									1;									true;								3.0;								50;									1300;								-30.0/45.0/-80.0/80.0;				900;								2.00;								2000;								5;									0,0,0,0,0;							20mm single barrel, capable of firing 1 high velocity round. This 20mm Projectile gun is good for medium ranged combat against high speed ships. Requires 1 x 20mm ammo.;;;;;;				
MODULE;								1001;								Generic Dual 20mm Gun;				Active Module;				20mm Dual Turret;					GUN;								gun_1.png;							20;									1300;								0;									1;									0;									true;								4.0;								50;									1025;								-30.0/45.0/-80.0/80.0;				700;								2.00;								1500;								6;									0,0,0,0,0;							20mm dual barrel weapon module, capable of firing 2 medium velocity rounds. This 20mm Projectile gun is good for medium ranged combat against ships of moderate speeds. Requires 2 x 20mm ammo.;;;;;;
MODULE;								1007;								Kinetics G-series Dual 20mm;		Active Module;				20mm Dual Turret;					GUN;								gun_1.png;							25;									2600;								0;									2;									0;									true;								4.25;								50;									1050;								-30.0/45.0/-80.0/80.0;				700;								2.25;								1500;								12;									0,0,0,0,0;							20mm dual barrel weapon module, capable of firing 2 medium velocity rounds. This 20mm Projectile gun is good for medium ranged combat against ships of moderate speeds. Requires 2 x 20mm ammo.;;;;;;
MODULE;								1013;								Quantex  x-2 20mm Gun;				Active Module;				20mm Dual Turret;					GUN;								gun_1.png;							35;									5200;								0;									3;									0;									true;								4.50;								50;									1100;								-30.0/45.0/-80.0/80.0;				700;								2.50;								1500;								19;									0,0,0,0,0;							20mm dual barrel weapon module, capable of firing 2 medium velocity rounds. This 20mm Projectile gun is good for medium ranged combat against ships of moderate speeds. Requires 2 x 20mm ammo.;;;;;;
MODULE;								1019;								Entex V-series Dual 20mm;			Active Module;				20mm Dual Turret;					GUN;								gun_1.png;							50;									10400;								0;									4;									0;									true;								4.75;								50;									1125;								-30.0/45.0/-80.0/80.0;				700;								2.75;								1500;								30;									0,0,0,0,0;							20mm dual barrel weapon module, capable of firing 2 medium velocity rounds. This 20mm Projectile gun is good for medium ranged combat against ships of moderate speeds. Requires 2 x 20mm ammo.;;;;;;
MODULE;								1025;								Gunstellar 20mm Dual Barrel;		Active Module;				20mm Dual Turret;					GUN;								gun_1.png;							70;									20800;								0;									5;									0;									true;								5.0;								50;									1150;								-30.0/45.0/-80.0/80.0;				700;								3.00;								1500;								43;									0,0,0,0,0;							20mm dual barrel weapon module, capable of firing 2 medium velocity rounds. This 20mm Projectile gun is good for medium ranged combat against ships of moderate speeds. Requires 2 x 20mm ammo.;;;;;;
MODULE;								1005;								Kith Dual 60mm Cannon;				Active Module;				60mm Dual Turret;					GUN;								gun_5.png;							95;									41600;								4;									6;									3;									true;								5.25;								50;									2000;								-30.0/45.0/-80.0/80.0;				600;								3.25;								1500;								58;									0,0,0,0,0;							60mm dual barrel weapon module, capable of firing 2 medium velocity rounds. This 60mm Projectile gun is good for medium ranged combat against ships of moderate speeds. Requires 2 x 60mm ammo.;;;;;;
MODULE;								1011;								Inovex 60mm Dual Cannon;			Active Module;				60mm Dual Turret;					GUN;								gun_5.png;							125;								83200;								4;									7;									3;									true;								5.50;								50;									2050;								-30.0/45.0/-80.0/80.0;				600;								3.50;								1500;								77;									0,0,0,0,0;							60mm dual barrel weapon module, capable of firing 2 medium velocity rounds. This 60mm Projectile gun is good for medium ranged combat against ships of moderate speeds. Requires 2 x 60mm ammo.;;;;;;
MODULE;								1017;								Acrondia 60mm Dual Howitzer;		Active Module;				60mm Dual Turret;					GUN;								gun_5.png;							160;								166400;								4;									8;									3;									true;								5.75;								50;									2100;								-30.0/45.0/-80.0/80.0;				600;								3.75;								1500;								97;									0,0,0,0,0;							60mm dual barrel weapon module, capable of firing 2 medium velocity rounds. This 60mm Projectile gun is good for medium ranged combat against ships of moderate speeds. Requires 2 x 60mm ammo.;;;;;;
MODULE;								1023;								Vita 60mm Dual Howitzer;			Active Module;				60mm Dual Turret;					GUN;								gun_5.png;							200;								332800;								4;									9;									3;									true;								6.0;								50;									2150;								-30.0/45.0/-80.0/80.0;				600;								4.00;								1500;								121;								0,0,0,0,0;							60mm dual barrel weapon module, capable of firing 2 medium velocity rounds. This 60mm Projectile gun is good for medium ranged combat against ships of moderate speeds. Requires 2 x 60mm ammo.;;;;;;
MODULE;								1029;								Oaken 60mm Dual Cannon;				Active Module;				60mm Dual Turret;					GUN;								gun_5.png;							245;								665600;								4;									10;									3;									true;								6.25;								50;									2200;								-30.0/45.0/-80.0/80.0;				600;								4.25;								1500;								142;								0,0,0,0,0;							60mm dual barrel weapon module, capable of firing 2 medium velocity rounds. This 60mm Projectile gun is good for medium ranged combat against ships of moderate speeds. Requires 2 x 60mm ammo.;;;;;;

MODULE;								1003;								Generic Gatling 20mm Gun;			Active Module;				20mm Auto Turret;					GUN;								gun_3.png;							40;									1100;								2;									1;									1;									true;								5.0;								50;									800;								-30.0/45.0/-85.0/85.0;				500;								2.00;								1200;								7;									0,0,0,0,0;							20mm auto gun, capable of firing 6 projectiles in sequence at a lower velocity. This 20mm Projectile auto gun is good for short to medium range combat against slow moving targets. Requires 6 x 20mm ammo.;;;;;;
MODULE;								1009;								Kinetics G-series 20mm Gatling;		Active Module;				20mm Auto Turret;					GUN;								gun_3.png;							45;									2200;								2;									2;									1;									true;								5.25;								50;									810;								-30.0/45.0/-85.0/85.0;				500;								2.25;								1200;								13;									0,0,0,0,0;							20mm auto gun, capable of firing 6 projectiles in sequence at a lower velocity. This 20mm Projectile auto gun is good for short to medium range combat against slow moving targets. Requires 6 x 20mm ammo.;;;;;;
MODULE;								1015;								Quantex  x-6 20mm Gatling;			Active Module;				20mm Auto Turret;					GUN;								gun_3.png;							55;									4400;								2;									3;									1;									true;								5.50;								50;									820;								-30.0/45.0/-85.0/85.0;				500;								2.50;								1200;								20;									0,0,0,0,0;							20mm auto gun, capable of firing 6 projectiles in sequence at a lower velocity. This 20mm Projectile auto gun is good for short to medium range combat against slow moving targets. Requires 6 x 20mm ammo.;;;;;;
MODULE;								1021;								Entex V-series 20mm Gatling;		Active Module;				20mm Auto Turret;					GUN;								gun_3.png;							65;									8800;								2;									4;									1;									true;								5.75;								50;									830;								-30.0/45.0/-85.0/85.0;				500;								2.75;								1200;								31;									0,0,0,0,0;							20mm auto gun, capable of firing 6 projectiles in sequence at a lower velocity. This 20mm Projectile auto gun is good for short to medium range combat against slow moving targets. Requires 6 x 20mm ammo.;;;;;;
MODULE;								1027;								Gunstellar 20mm Gatling;			Active Module;				20mm Auto Turret;					GUN;								gun_3.png;							80;									17600;								2;									5;									1;									true;								6.0;								50;									840;								-30.0/45.0/-85.0/85.0;				500;								3.00;								1200;								45;									0,0,0,0,0;							20mm auto gun, capable of firing 6 projectiles in sequence at a lower velocity. This 20mm Projectile auto gun is good for short to medium range combat against slow moving targets. Requires 6 x 20mm ammo.;;;;;;
MODULE;								1006;								Kith Gatling 60mm Cannon;			Active Module;				60mm Auto Turret;					GUN;								gun_6.png;							105;								35200;								5;									6;									2;									true;								6.25;								50;									1200;								-30.0/45.0/-85.0/85.0;				400;								3.25;								1200;								60;									0,0,0,0,0;							60mm auto gun, capable of firing 6 projectiles in sequence at a lower velocity. This 60mm Projectile auto gun is good for short to medium range combat against slow moving targets. Requires 6 x 60mm ammo.;;;;;;
MODULE;								1012;								Inovex 60mm Auto Cannon;			Active Module;				60mm Auto Turret;					GUN;								gun_6.png;							135;								70400;								5;									7;									2;									true;								6.50;								50;									1250;								-30.0/45.0/-85.0/85.0;				400;								3.50;								1200;								80;									0,0,0,0,0;							60mm auto gun, capable of firing 6 projectiles in sequence at a lower velocity. This 60mm Projectile auto gun is good for short to medium range combat against slow moving targets. Requires 6 x 60mm ammo.;;;;;;
MODULE;								1018;								Acrondia 60mm Howitzer Autogun;		Active Module;				60mm Auto Turret;					GUN;								gun_6.png;							170;								140800;								5;									8;									2;									true;								6.75;								50;									1300;								-30.0/45.0/-85.0/85.0;				400;								3.75;								1200;								101;								0,0,0,0,0;							60mm auto gun, capable of firing 6 projectiles in sequence at a lower velocity. This 60mm Projectile auto gun is good for short to medium range combat against slow moving targets. Requires 6 x 60mm ammo.;;;;;;
MODULE;								1024;								Vita 60mm Howitzer Autogun;			Active Module;				60mm Auto Turret;					GUN;								gun_6.png;							210;								281600;								5;									9;									2;									true;								7.0;								50;									1350;								-30.0/45.0/-85.0/85.0;				400;								4.00;								1200;								126;								0,0,0,0,0;							60mm auto gun, capable of firing 6 projectiles in sequence at a lower velocity. This 60mm Projectile auto gun is good for short to medium range combat against slow moving targets. Requires 6 x 60mm ammo.;;;;;;
MODULE;								1030;								Oaken 60mm Auto Cannon;				Active Module;				60mm Auto Turret;					GUN;								gun_6.png;							255;								563200;								5;									10;									2;									true;								7.25;								50;									1400;								-30.0/45.0/-85.0/85.0;				400;								4.25;								1200;								147;								0,0,0,0,0;							60mm auto gun, capable of firing 6 projectiles in sequence at a lower velocity. This 60mm Projectile auto gun is good for short to medium range combat against slow moving targets. Requires 6 x 60mm ammo.;;;;;;

MODULE;								1050;								Rapid x1 Launcher;					Active Module;				Missile Launcher;					LAUNCHER;							launcher_1.png;						45;									2100;								10;									1;									4;									true;								2.0;								45;									750;								-30.0/45.0/-80.0/80.0;				100;								5.0;								1400;								13;									1,10,0,0,0;							The Rapid missile launcher module is capable of cycling ammunition quickly at close range, but with a reduced missile flight time. This launcher can fire 1 missile per cycle.;;;;;;
MODULE;								1055;								Rapid x2 Launcher;					Active Module;				Missile Launcher;					LAUNCHER;							launcher_1.png;						50;									4200;								10;									2;									4;									true;								2.65;								45;									760;								-30.0/45.0/-80.0/80.0;				100;								7.0;								1400;								13;									2,10,0,0,0;							The Rapid missile launcher module is capable of cycling ammunition quickly at close range, but with a reduced missile flight time. This launcher can fire 2 missiles per cycle.;;;;;;
MODULE;								1060;								Rapid x3 Launcher;					Active Module;				Missile Launcher;					LAUNCHER;							launcher_2.png;						60;									8400;								11;									3;									4;									true;								3.20;								45;									770;								-30.0/45.0/-80.0/80.0;				100;								9.0;								1400;								13;									3,11,0,0,0;							The Rapid missile launcher module is capable of cycling ammunition quickly at close range, but with a reduced missile flight time. This launcher can fire 3 missiles per cycle.;;;;;;
MODULE;								1065;								Rapid x4 Launcher;					Active Module;				Missile Launcher;					LAUNCHER;							launcher_2.png;						70;									16800;								11;									4;									4;									true;								3.75;								45;									780;								-30.0/45.0/-80.0/80.0;				100;								12.0;								1400;								13;									4,11,0,0,0;							The Rapid missile launcher module is capable of cycling ammunition quickly at close range, but with a reduced missile flight time. This launcher can fire 4 missiles per cycle.;;;;;;
MODULE;								1070;								Rapid x5 Launcher;					Active Module;				Missile Launcher;					LAUNCHER;							launcher_3.png;						85;									33600;								12;									5;									4;									true;								4.2;								45;									790;								-30.0/45.0/-80.0/80.0;				100;								16.0;								1400;								13;									5,12,0,0,0;							The Rapid missile launcher module is capable of cycling ammunition quickly at close range, but with a reduced missile flight time. This launcher can fire 5 missiles per cycle.;;;;;;
MODULE;								1051;								Rapid x6 Launcher;					Active Module;				Missile Launcher;					LAUNCHER;							launcher_3.png;						110;								67200;								12;									6;									4;									true;								4.8;								45;									800;								-30.0/45.0/-80.0/80.0;				100;								21.0;								1300;								13;									6,12,0,0,0;							The Rapid missile launcher module is capable of cycling ammunition quickly at close range, but with a reduced missile flight time. This launcher can fire 6 missiles per cycle.;;;;;;
MODULE;								1056;								Rapid x7 Launcher;					Active Module;				Missile Launcher;					LAUNCHER;							launcher_4.png;						140;								134400;								13;									7;									4;									true;								5.5;								45;									810;								-30.0/45.0/-80.0/80.0;				100;								27.0;								1300;								13;									7,13,0,0,0;							The Rapid missile launcher module is capable of cycling ammunition quickly at close range, but with a reduced missile flight time. This launcher can fire 7 missiles per cycle.;;;;;;
MODULE;								1061;								Rapid x8 Launcher;					Active Module;				Missile Launcher;					LAUNCHER;							launcher_4.png;						175;								268800;								13;									8;									4;									true;								6.1;								45;									820;								-30.0/45.0/-80.0/80.0;				100;								34.0;								1300;								13;									8,13,0,0,0;							The Rapid missile launcher module is capable of cycling ammunition quickly at close range, but with a reduced missile flight time. This launcher can fire 8 missiles per cycle.;;;;;;
MODULE;								1066;								Rapid x9 Launcher;					Active Module;				Missile Launcher;					LAUNCHER;							launcher_5.png;						215;								537600;								14;									9;									4;									true;								7.0;								45;									830;								-30.0/45.0/-80.0/80.0;				100;								42.0;								1300;								13;									9,14,0,0,0;							The Rapid missile launcher module is capable of cycling ammunition quickly at close range, but with a reduced missile flight time. This launcher can fire 9 missiles per cycle.;;;;;;
MODULE;								1071;								Rapid x10 Launcher;					Active Module;				Missile Launcher;					LAUNCHER;							launcher_5.png;						260;								1075200;							14;									10;									4;									true;								7.7;								45;									840;								-30.0/45.0/-80.0/80.0;				100;								51.0;								1300;								13;									10,15,0,0,0;						The Rapid missile launcher module is capable of cycling ammunition quickly at close range, but with a reduced missile flight time. This launcher can fire 10 missiles per cycle.;;;;;;

MODULE;								1052;								Assault x1 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_1.png;						50;									2300;								10;									1;									7;									true;								4.0;								45;									1500;								-30.0/45.0/-80.0/80.0;				200;								7.0;								1200;								25;									1,10,0,0,0;							The Assault missile launcher is designed for mid-range combat with improved missile flight time and moderate cycle rate. This launcher can fire 1 missile per cycle.;;;;;;
MODULE;								1057;								Assault x2 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_1.png;						55;									4600;								10;									2;									7;									true;								4.5;								45;									1525;								-30.0/45.0/-80.0/80.0;				200;								9.0;								1200;								25;									2,10,0,0,0;							The Assault missile launcher is designed for mid-range combat with improved missile flight time and moderate cycle rate. This launcher can fire 2 missiles per cycle.;;;;;;
MODULE;								1062;								Assault x3 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_2.png;						65;									9200;								11;									3;									7;									true;								5.0;								45;									1550;								-30.0/45.0/-80.0/80.0;				200;								12.0;								1200;								25;									3,11,0,0,0;							The Assault missile launcher is designed for mid-range combat with improved missile flight time and moderate cycle rate. This launcher can fire 3 missiles per cycle.;;;;;;
MODULE;								1067;								Assault x4 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_2.png;						75;									18400;								11;									4;		   							7;									true;								5.5;								45;									1575;								-30.0/45.0/-80.0/80.0;				200;								16.0;								1200;								25;									4,11,0,0,0;							The Assault missile launcher is designed for mid-range combat with improved missile flight time and moderate cycle rate. This launcher can fire 4 missiles per cycle.;;;;;;
MODULE;								1072;								Assault x5 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_3.png;						90;									36800;								12;									5;									7;									true;								6.0;								45;									1600;								-30.0/45.0/-80.0/80.0;				200;								21.0;								1200;								25;									5,12,0,0,0;							The Assault missile launcher is designed for mid-range combat with improved missile flight time and moderate cycle rate. This launcher can fire 5 missiles per cycle.;;;;;;
MODULE;								1053;								Assault x6 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_3.png;						115;								73600;								12;									6;									7;									true;								6.5;								45;									1625;								-30.0/45.0/-80.0/80.0;				200;								27.0;								1100;								25;									6,12,0,0,0;							The Assault missile launcher is designed for mid-range combat with improved missile flight time and moderate cycle rate. This launcher can fire 6 missiles per cycle.;;;;;;
MODULE;								1058;								Assault x7 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_4.png;						145;								147200;								13;									7;									7;									true;								7.0;								45;									1650;								-30.0/45.0/-80.0/80.0;				200;								34.0;								1100;								25;									7,13,0,0,0;							The Assault missile launcher is designed for mid-range combat with improved missile flight time and moderate cycle rate. This launcher can fire 7 missiles per cycle.;;;;;;
MODULE;								1063;								Assault x8 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_4.png;						180;								294400;								13;									8;									7;									true;								7.5;								45;									1750;								-30.0/45.0/-80.0/80.0;				200;								42.0;								1100;								25;									8,13,0,0,0;							The Assault missile launcher is designed for mid-range combat with improved missile flight time and moderate cycle rate. This launcher can fire 8 missiles per cycle.;;;;;;
MODULE;								1068;								Assault x9 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_5.png;						220;								588800;								14;									9;									7;									true;								8.0;								45;									1800;								-30.0/45.0/-80.0/80.0;				200;								51.0;								1100;								25;									9,14,0,0,0;							The Assault missile launcher is designed for mid-range combat with improved missile flight time and moderate cycle rate. This launcher can fire 9 missiles per cycle.;;;;;;
MODULE;								1073;								Assault x10 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_5.png;						265;								1177600;							14;									10;									7;									true;								8.5;								45;									1825;								-30.0/45.0/-80.0/80.0;				200;								61.0;								1100;								25;									10,15,0,0,0;						The Assault missile launcher is designed for mid-range combat with improved missile flight time and moderate cycle rate. This launcher can fire 10 missiles per cycle.;;;;;;

MODULE;								1054;								Tactical x1 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_1.png;						50;									2550;								10;									1;									10;									true;								9.0;								55;									3000;								-30.0/45.0/-80.0/80.0;				300;								9.0;								1000;								50;									1,15,0,0,0;							The Tactical missile launcher is designed for long-range combat. It has an extended missile flight time and a slow cycle rate. This launcher can fire 1 missile per cycle.;;;;;;
MODULE;								1059;								Tactical x2 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_1.png;						55;									5100;								10;									2;									10;									true;								9.5;								55;									3050;								-30.0/45.0/-80.0/80.0;				300;								12.0;								1000;								50;									2,15,0,0,0;							The Tactical missile launcher is designed for long-range combat. It has an extended missile flight time and a slow cycle rate. This launcher can fire 2 missiles per cycle.;;;;;;
MODULE;								1064;								Tactical x3 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_2.png;						65;									10200;								11;									3;									10;									true;								10.0;								55;									3100;								-30.0/45.0/-80.0/80.0;				300;								16.0;								1000;								50;									3,16,0,0,0;							The Tactical missile launcher is designed for long-range combat. It has an extended missile flight time and a slow cycle rate. This launcher can fire 3 missiles per cycle.;;;;;;
MODULE;								1069;								Tactical x4 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_2.png;						75;									20400;								11;									4;									10;									true;								10.5;								55;									3150;								-30.0/45.0/-80.0/80.0;				300;								21.0;								1000;								50;									4,16,0,0,0;							The Tactical missile launcher is designed for long-range combat. It has an extended missile flight time and a slow cycle rate. This launcher can fire 4 missiles per cycle.;;;;;;
MODULE;								1074;								Tactical x5 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_3.png;						90;									40800;								12;									5;									10;									true;								11.0;								55;									3200;								-30.0/45.0/-80.0/80.0;				300;								27.0;								1000;								50;									5,17,0,0,0;							The Tactical missile launcher is designed for long-range combat. It has an extended missile flight time and a slow cycle rate. This launcher can fire 5 missiles per cycle.;;;;;;
MODULE;								1075;								Tactical x6 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_3.png;						115;								81600;								12;									6;									10;									true;								11.5;								55;									3250;								-30.0/45.0/-80.0/80.0;				300;								34.0;								1000;								50;									6,17,0,0,0;							The Tactical missile launcher is designed for long-range combat. It has an extended missile flight time and a slow cycle rate. This launcher can fire 6 missiles per cycle.;;;;;;
MODULE;								1076;								Tactical x7 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_4.png;						145;								163200;								13;									7;									10;									true;								12.0;								55;									3300;								-30.0/45.0/-80.0/80.0;				300;								42.0;								1000;								50;									7,18,0,0,0;							The Tactical missile launcher is designed for long-range combat. It has an extended missile flight time and a slow cycle rate. This launcher can fire 7 missiles per cycle.;;;;;;
MODULE;								1077;								Tactical x8 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_4.png;						180;								326400;								13;									8;									10;									true;								12.5;								55;									3350;								-30.0/45.0/-80.0/80.0;				300;								51.0;								1000;								50;									8,18,0,0,0;							The Tactical missile launcher is designed for long-range combat. It has an extended missile flight time and a slow cycle rate. This launcher can fire 8 missiles per cycle.;;;;;;
MODULE;								1078;								Tactical x9 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_5.png;						220;								652800;								14;									9;									10;									true;								13.0;								55;									3400;								-30.0/45.0/-80.0/80.0;				300;								61.0;								1000;								50;									9,19,0,0,0;							The Tactical missile launcher is designed for long-range combat. It has an extended missile flight time and a slow cycle rate. This launcher can fire 9 missiles per cycle.;;;;;;
MODULE;								1079;								Tactical x10 Launcher;				Active Module;				Missile Launcher;					LAUNCHER;							launcher_5.png;						265;								1305600;							14;									10;									10;									true;								13.5;								55;									3450;								-30.0/45.0/-80.0/80.0;				300;								72.0;								1000;								50;									10,20,0,0,0;						The Tactical missile launcher is designed for long-range combat. It has an extended missile flight time and a slow cycle rate. This launcher can fire 10 missiles per cycle.;;;;;;

MODULE;								1100;								Pulse x1 Laser;						Active Module;				Laser Turret;						LASER;								laser_1.png;						15;									500;								20;									1;									16;									true;								1.5;								45;									700;								-30.0/45.0/-135.0/135.0;			700;								5;									1000;								6;									0,0,0,0,0;							The Pulse laser has a high rate of fire and limited targeting range. It uses only the ship's energy as ammunition and works well in close combat.;;;;;;
MODULE;								1101;								Pulse x2 Laser;						Active Module;				Laser Turret;						LASER;								laser_1.png;						20;									900;								20;									2;									16;									true;								1.5;								45;									710;								-30.0/45.0/-135.0/135.0;			700;								8;									1000;								12;									0,0,0,0,0;							The Pulse laser has a high rate of fire and limited targeting range. It uses only the ship's energy as ammunition and works well in close combat.;;;;;;
MODULE;								1102;								Pulse x3 Laser;						Active Module;				Laser Turret;						LASER;								laser_2.png;						30;									1700;								21;									3;									16;									true;								1.5;								45;									720;								-30.0/45.0/-135.0/135.0;			700;								11;									1000;								19;									0,0,0,0,0;							The Pulse laser has a high rate of fire and limited targeting range. It uses only the ship's energy as ammunition and works well in close combat.;;;;;;
MODULE;								1103;								Pulse x4 Laser;						Active Module;				Laser Turret;						LASER;								laser_2.png;						45;									3300;								21;									4;									17;									true;								1.5;								45;									730;								-30.0/45.0/-135.0/135.0;			700;								14;									1000;								27;									0,0,0,0,0;							The Pulse laser has a high rate of fire and limited targeting range. It uses only the ship's energy as ammunition and works well in close combat.;;;;;;
