//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		100;		none;		NPC_CHAT;		0;		I hope you enjoy your death as much as I will.;		300;		npc_bad.txt>0>What ever you say...;		000;		null;		null;		null;		null;		667.88;		-141.58
SCRIPT;		51;		START;		NPC_CHAT;		0;		Not interested in a ‘stop and chat’ rookie. Get lost or get dead! Either way, this conversation is over. Your move.;		300;		npc_bad.txt>0>Settle down bud.;		null;		null;		null;		null;		null;		1014.50;		-250.04
SCRIPT;		52;		START;		NPC_CHAT;		0;		Although it may appear that my motives are immoral, I do not have a propensity for violence. I will however defend myself if you so choose to engage me. I would highly recommend against that as my skills in combat have never been more keen.;		300;		npc_bad.txt>0>What to do?;		null;		null;		null;		null;		null;		1401.49;		-144.06
SCRIPT;		53;		START;		NPC_CHAT;		0;		Are you looking for a bit more adventure in your life? I suggest you find someone else to bother before I take you on an adventure you will never forget.;		300;		npc_bad.txt>0>Hah, Your sister said the same thing.;		null;		null;		null;		null;		null;		1397.91;		-363.16
SCRIPT;		54;		START;		NPC_CHAT;		0;		I just installed a new weapons module onto my ship and I am really excited about testing it out. You wouldn’t be interesting in a fight would ya? I suppose we don’t have to kill each other, but i’m not technically against it;		300;		npc_bad.txt>0>I'm rather fond of the idea.;		null;		null;		null;		null;		null;		1202.62;		-358.39
SCRIPT;		55;		START;		NPC_CHAT;		0;		I would really appreciate it if you stayed focused on your own business, and leave me alone. I have way too much going on right now to be on the comms with you.;		300;		npc_bad.txt>0>Back to it.;		null;		null;		null;		null;		null;		1016.87;		-358.38
SCRIPT;		56;		START;		NPC_CHAT;		0;		I am in no mood for your pleasantries. Perhaps some other time when I am not feeling so aggressive.;		300;		npc_bad.txt>0>Don't be so sensitive.;		null;		null;		null;		null;		null;		1203.83;		-250.04
SCRIPT;		57;		START;		NPC_CHAT;		0;		You rookies remind me of the times when the Temple sent thousands of Missionary priests to collect donations for the Altar project. It never ends with all the pestering does it?;		300;		npc_bad.txt>0>No, It does not end.;		null;		null;		null;		null;		null;		1206.20;		-469.14
SCRIPT;		58;		START;		NPC_CHAT;		0;		I can’t be bothered with you right now. I swear, you newgees are all the same. Running around and chatting up everyone. No thanks, keep that shit to yourself. Some of us have things to do out here.;		300;		npc_bad.txt>0>No prolem, I'm gone.;		null;		null;		null;		null;		null;		1203.84;		-140.51
SCRIPT;		59;		START;		NPC_CHAT;		0;		Can’t you find someone else to bother. I just don’t understand what compels you newgees to approach complete strangers and ask for help. Not interested.;		300;		npc_bad.txt>0>But wait, there's more!;		null;		null;		null;		null;		null;		1021.64;		-467.94
SCRIPT;		60;		START;		NPC_CHAT;		0;		Text message;		300;		npc_bad.txt>0>OK Button Text;		null;		null;		null;		null;		null;		429.84;		-594.16
SCRIPT;		61;		START;		NPC_CHAT;		0;		Look at you flying around in that big ol’ fancy starship. I sure wish I could get my hands on something like that one day. I guess a fella can dream. You better take off before I go getting myself a crazy idea.;		300;		npc_bad.txt>0>Bye.;		null;		null;		null;		null;		null;		1396.73;		-252.41
SCRIPT;		70;		START;		NPC_CHAT;		0;		I was just thinking to myself. ‘I wonder what that ship would look like scattered across the sector in a million little particles?’. [n][n]I can almost see it in my mind, all the tiny specs of metal. Floating across the void, reaching out for the star. Hoping that a glint of it’s light will dance briefly across a random smooth surface. Hoping that just maybe, someone out there will see that little flicker in the darkness.;		300;		npc_bad.txt>0>Please show me the flicker in the darkness.;		null;		null;		null;		null;		null;		1399.10;		-471.51
SCRIPT;		71;		START;		NPC_CHAT;		0;		Hey there friend. I was hoping you might have a few moments to talk with me for a second. It would seem that I have found myself in quite a mess. If you could just help me out with a few spare credits, I should be able to pay my docking fees and repair my ship at the station garage.;		300;		npc_bad.txt>0>Give me a break.;		null;		null;		null;		null;		null;		1399.10;		-573.91
