// TECHNICAL SPECIFICATION DOCUMENTS;;									
// ITEM;							1 DOC ID;							2 DOC NAME;							3 DOC TYPE;							4 DOC CLASS;						5 DOC SUBCLASS;						6 doc image;						7 DOC SIZE;							8 DOC PRICE;						9 CRAFTS ID;						10 DOC LVL;							11 USE MODE;						12 STACKABLE ITEM;					13 RECIPE (id-qty);					14 QTY;								15 NULL 0;							16 NULL 0;							17 NULL 0;							18 NULL 0;							19 NULL 0;							20 NULL 0;							21 NULL 0;							22 ITEM DESCRIPTION ;;;;;;;									
ITEM;								2100;								Generic Single 20mm Gun (Doc);		Document;							20mm Turret;						GUN;								generic_single_20mm_gun_doc.png;	1;									14400;								1002;								1;									 null;								True;								167-3:153-12:159-2;					1;									 null ; 							 null ; 							 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Generic Single 20mm Gun.
ITEM;								2144;								Assault x5 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							assault_x5_launcher_doc.png;		1.0;								441600;								1072;								5;									 null;								true;								2013-53:2009-8:212-52;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Assault x5 Launcher;;									;									;									;									;									;									
ITEM;								2145;								Assault x6 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							assault_x6_launcher_doc.png;		1.0;								883200;								1053;								6;									 null;								true;								2013-106:2018-11:2001-76;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Assault x6 Launcher;;									;									;									;									;									;									
ITEM;								2146;								Assault x7 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							assault_x7_launcher_doc.png;		1.0;								1766400;							1058;								7;									 null;								true;								2037-172:2014-64:2009-33;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Assault x7 Launcher;;									;									;									;									;									;									
ITEM;								2147;								Assault x8 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							assault_x8_launcher_doc.png;		1.0;								3532800;							1063;								8;									 null;								true;								2026-68:2032-72:2036-27;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Assault x8 Launcher;;									;									;									;									;									;									
ITEM;								2148;								Assault x9 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							assault_x9_launcher_doc.png;		1.0;								7065600;							1068;								9;									 null;								true;								2038-69:2055-23:2049-13;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Assault x9 Launcher;;									;									;									;									;									;									
ITEM;								2149;								Assault x10 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							assault_x10_launcher_doc.png;		1.0;								14131200;							1073;								10;									 null;								true;								2052-221:2055-47:2038-69;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Assault x10 Launcher;;									;									;									;									;									;									
ITEM;								2150;								Tactical x1 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							tactical_x1_launcher_doc.png;		1.0;								30600;								1054;								1;									 null;								true;								165-9:164-13:168-5;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Tactical x1 Launcher;;									;									;									;									;									;									
ITEM;								2151;								Tactical x2 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							tactical_x2_launcher_doc.png;		1.0;								61200;								1059;								2;									 null;								true;								150-111:152-51:201-8;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Tactical x2 Launcher;;									;									;									;									;									;									
ITEM;								2152;								Tactical x3 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							tactical_x3_launcher_doc.png;		1.0;								122400;								1064;								3;									 null;								true;								208-17:154-27:209-17;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Tactical x3 Launcher;;									;									;									;									;									;									
ITEM;								2153;								Tactical x4 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							tactical_x4_launcher_doc.png;		1.0;								244800;								1069;								4;									 null;								true;								2008-11:212-28:2006-7;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Tactical x4 Launcher;;									;									;									;									;									;									
ITEM;								2154;								Tactical x5 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							tactical_x5_launcher_doc.png;		1.0;								489600;								1074;								5;									 null;								true;								212-115:203-53:209-71;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Tactical x5 Launcher;;									;									;									;									;									;									
ITEM;								2155;								Tactical x6 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							tactical_x6_launcher_doc.png;		1.0;								979200;								1075;								6;									 null;								true;								2010-153:2018-12:2019-9;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Tactical x6 Launcher;;									;									;									;									;									;									
ITEM;								2156;								Tactical x7 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							tactical_x7_launcher_doc.png;		1.0;								1958400;							1076;								7;									 null;								true;								2022-109:2004-95:2003-115;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Tactical x7 Launcher;;									;									;									;									;									;									
ITEM;								2157;								Tactical x8 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							tactical_x8_launcher_doc.png;		1.0;								3916800;							1077;								8;									 null;								true;								2035-89:2020-226:2043-47;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Tactical x8 Launcher;;									;									;									;									;									;									
ITEM;								2158;								Tactical x9 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							tactical_x9_launcher_doc.png;		1.0;								7833600;							1078;								9;									 null;								true;								2028-92:2046-33:2054-36;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Tactical x9 Launcher;;									;									;									;									;									;									
ITEM;								2159;								Tactical x10 Launcher (Doc);		Document;							Missile Launcher;					LAUNCHER;							tactical_x10_launcher_doc.png;		1.0;								15667200;							1079;								10;									 null;								true;								2045-144:2055-52:2046-66;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Tactical x10 Launcher;;									;									;									;									;									;									
ITEM;								2160;								Pulse x1 Laser (Doc);				Document;							Laser Turret;						LASER;								pulse_x1_laser_doc.png;				1.0;								6000;								1100;								1;									 null;								true;								161-4:168-1:164-2;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Pulse x1 Laser;;									;									;									;									;									;									
ITEM;								2161;								Pulse x2 Laser (Doc);				Document;							Laser Turret;						LASER;								pulse_x2_laser_doc.png;				1.0;								10800;								1101;								2;									 null;								true;								154-4:169-1:166-1;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Pulse x2 Laser;;									;									;									;									;									;									
ITEM;								2162;								Pulse x3 Laser (Doc);				Document;							Laser Turret;						LASER;								pulse_x3_laser_doc.png;				1.0;								20400;								1102;								3;									 null;								true;								158-9:151-17:205-1;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Pulse x3 Laser;;									;									;									;									;									;									
ITEM;								2163;								Pulse x4 Laser (Doc);				Document;							Laser Turret;						LASER;								pulse_x4_laser_doc.png;				1.0;								39600;								1103;								4;									 null;								true;								206-6:218-2:213-4;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Pulse x4 Laser;;									;									;									;									;									;									
ITEM;								2164;								Pulse x5 Laser (Doc);				Document;							Laser Turret;						LASER;								pulse_x5_laser_doc.png;				1.0;								78000;								1104;								5;									 null;								true;								201-21:2002-6:207-6;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Pulse x5 Laser;;									;									;									;									;									;									
ITEM;								2165;								Pulse x6 Laser (Doc);				Document;							Laser Turret;						LASER;								pulse_x6_laser_doc.png;				1.0;								154800;								1105;								6;									 null;								true;								2016-7:2017-2:211-19;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Pulse x6 Laser;;									;									;									;									;									;									
ITEM;								2166;								Pulse x7 Laser (Doc);				Document;							Laser Turret;						LASER;								pulse_x7_laser_doc.png;				1.0;								308400;								1106;								7;									 null;								true;								2025-6:2010-24:2005-12;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Pulse x7 Laser;;									;									;									;									;									;									
ITEM;								2167;								Pulse x8 Laser (Doc);				Document;							Laser Turret;						LASER;								pulse_x8_laser_doc.png;				1.0;								615600;								1107;								8;									 null;								true;								2024-16:2026-5:2022-17;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Pulse x8 Laser;;									;									;									;									;									;									
ITEM;								2168;								Pulse x9 Laser (Doc);				Document;							Laser Turret;						LASER;								pulse_x9_laser_doc.png;				1.0;								1230000;							1108;								9;									 null;								true;								2057-3:2050-13:2080-12;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Pulse x9 Laser;;									;									;									;									;									;									
ITEM;								2169;								Pulse x10 Laser (Doc);				Document;							Laser Turret;						LASER;								pulse_x10_laser_doc.png;			1.0;								2458800;							1109;								10;									 null;								true;								2038-24:2049-4:2051-20;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Pulse x10 Laser;;									;									;									;									;									;									
ITEM;								2170;								Blaster x1 Laser (Doc);				Document;							Laser Turret;						LASER;								blaster_x1_laser_doc.png;			1.0;								12000;								1110;								1;									 null;								true;								168-4:167-1:162-4;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Blaster x1 Laser;;									;									;									;									;									;									
ITEM;								2171;								Blaster x2 Laser (Doc);				Document;							Laser Turret;						LASER;								blaster_x2_laser_doc.png;			1.0;								22800;								1111;								2;									 null;								true;								152-38:200-3:205-2;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Blaster x2 Laser;;									;									;									;									;									;									
ITEM;								2172;								Blaster x3 Laser (Doc);				Document;							Laser Turret;						LASER;								blaster_x3_laser_doc.png;			1.0;								32400;								1112;								3;									 null;								true;								154-14:164-14:204-3;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Blaster x3 Laser;;									;									;									;									;									;									
