//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		5;		START;		CHECK_VALUE;		0;		MISSION.debt_wait;		=;		1;		missions_debt_collection.txt>300>IF TRUE;		missions_debt_collection.txt>1005>IF FALSE;		null;		null;		null;		1000.00;		-87.00
SCRIPT;		1042;		66145;		ADJ_FACTION;		0;		Well then... That was mighty big of you. Most pilots can't admit when they have made a mistake. Anyway, give me a few minutes and I should be able to scrape together enough Credits to make a payment, and send you on your way. How does that sound?;		1;		0.02;		missions_debt_collection.txt>1048>That sounds great. I'll be right here.;		null;		null;		null;		null;		591.00;		-590.00
SCRIPT;		1043;		80750;		NPC_ATTACK;		0;		I don't suppose you happen to have any friends with you, because I just happen to know a few unsavory locals who love to cause problems for contract punks like yourself. Maybe this will teach you a lesson.;		True;		missions_debt_collection.txt>1045>So it's like that.;		null;		null;		null;		null;		null;		777.00;		-586.00
SCRIPT;		1045;		11319;		SPAWN_RAIDERS;		1048;		npc_ship_data_(pirate_escort_1);		000#000#000;		3;		10;		null;		null;		null;		null;		776.00;		-706.00
SCRIPT;		1048;		58393;		NPC_CHAT;		500;		Text message;		20;		null;		null;		null;		null;		null;		null;		588.00;		-718.00
SCRIPT;		1115;		86882;		TEXT;		0;		Maybe I do... Maybe I don't... and since I have no clue who you are, I'm guessing I don't.;		missions_debt_collection.txt>1040>Listen, I have been sent here to collect a payment.;		null;		null;		null;		null;		null;		null;		786.00;		-414.00
SCRIPT;		1110;		76997;		TEXT;		0;		Ha!, I have been working all week to earn enough profits to make a payment. Believe me when I tell you, the last thing I need is a reminder. I just about have everything I need. I should be able to pay in about an hour or so.;		missions_debt_collection.txt>1117>Well that is good to hear.;		null;		null;		null;		null;		null;		null;		939.00;		-514.00
SCRIPT;		1117;		64278;		NPC_CHAT;		500;		Text message;		40;		null;		null;		null;		null;		null;		null;		943.00;		-820.00
SCRIPT;		1105;		27319;		TEXT;		0;		Yeah sure man, Just a sec... let me finish what I am doing here and I should be all set.;		missions_debt_collection.txt>1160>Alright, the sooner the better.;		null;		null;		null;		null;		null;		null;		1207.00;		-412.00
SCRIPT;		1160;		23225;		SPAWN_RAIDERS;		1170;		npc_ship_data_(pirate_frigate_1);		000#000#000;		2;		10;		null;		null;		null;		null;		1213.00;		-515.00
SCRIPT;		1170;		84539;		OPTION;		0;		Um, don't know if you noticed just yet, but it looks as though we have a few visitors. Maybe we can continue this after those raiders are taken care of. ;		missions_debt_collection.txt>1117>I guess, don't go anywhere.;		missions_debt_collection.txt>1127>That's okay, I think I'll focus on you.;		null;		null;		null;		null;		null;		1213.00;		-821.00
SCRIPT;		1210;		96685;		NPC_ATTACK;		0;		Well, I suggest you charge up those weapons. I am in no mood to fool around with the likes of you. Let's have ourselves a dance.;		True;		missions_debt_collection.txt>1160>I'll lead...;		null;		null;		null;		null;		null;		1513.00;		-512.00
SCRIPT;		1250;		77936;		NPC_RETREAT;		0;		Yeah, I don't want to talk right now...;		missions_debt_collection.txt>1255>Hey wait!;		null;		null;		null;		null;		null;		null;		1650.00;		-598.00
SCRIPT;		1255;		48205;		NPC_CHAT;		1265;		Text message;		20;		null;		null;		null;		null;		null;		null;		1882.00;		-600.00
SCRIPT;		510;		35179;		EXIT;		0;		null;		null;		null;		null;		null;		null;		null;		null;		365.00;		-1157.00
SCRIPT;		1265;		18533;		EXIT;		0;		null;		null;		null;		null;		null;		null;		null;		null;		1881.00;		-813.00
SCRIPT;		1127;		57524;		TEXT;		0;		In that case, I should probably call a few more friends to the party. What do you think?;		missions_debt_collection.txt>1045>Whatever you say.;		null;		null;		null;		null;		null;		null;		1060.00;		-704.00
