//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		5;		START;		CHECK_VALUE;		0;		MISSION.arrest_escort;		=;		1;		missions_arrest_escort.txt>300>IF TRUE;		missions_arrest_escort.txt>1005>IF FALSE;		null;		null;		null;		1000.00;		-87.00
SCRIPT;		500;		51346;		SET_VALUE;		510;		MISSION.arrest_escort;		1;		null;		null;		null;		null;		null;		null;		364.59;		-976.91
SCRIPT;		1032;		51976;		NPC_CHAT;		500;		Text message;		20;		null;		null;		null;		null;		null;		null;		353.62;		-610.28
SCRIPT;		1043;		80750;		NPC_ATTACK;		0;		Well, I guess it is time for you to call in your friends, because mine should be showing up any moment now.;		True;		missions_arrest_escort.txt>1045>Bring it on.;		null;		null;		null;		null;		null;		777.00;		-586.00
SCRIPT;		1045;		11319;		SPAWN_RAIDERS;		1048;		npc_ship_data_(pirate_escort_1);		000#000#000;		3;		10;		null;		null;		null;		null;		776.00;		-706.00
SCRIPT;		1048;		58393;		NPC_CHAT;		500;		Text message;		20;		null;		null;		null;		null;		null;		null;		588.00;		-718.00
SCRIPT;		1115;		86882;		TEXT;		0;		Maybe I do... Maybe I don't... and since I have no clue who you are, I'm guessing I don't.;		missions_arrest_escort.txt>1040>Listen, I have been sent here to take you back.;		null;		null;		null;		null;		null;		null;		786.00;		-414.00
SCRIPT;		1110;		76997;		TEXT;		0;		How about you just go your own way and leave me alone already.;		missions_arrest_escort.txt>1117>I'm sorry you think that is an option.;		null;		null;		null;		null;		null;		null;		939.00;		-514.00
SCRIPT;		1117;		64278;		NPC_CHAT;		500;		Text message;		40;		null;		null;		null;		null;		null;		null;		943.00;		-820.00
SCRIPT;		1105;		27319;		TEXT;		0;		Yeah sure man, Just a sec... let me finish what I am doing here and I should be ready to go.;		missions_arrest_escort.txt>1160>Alright, the sooner the better.;		null;		null;		null;		null;		null;		null;		1207.00;		-412.00
SCRIPT;		1160;		23225;		SPAWN_RAIDERS;		1170;		npc_ship_data_(pirate_frigate_1);		000#000#000;		2;		10;		null;		null;		null;		null;		1213.00;		-515.00
SCRIPT;		1170;		84539;		OPTION;		0;		Um, don't know if you noticed just yet, but it looks as though we have a few visitors. Maybe we can continue this after those raiders are taken care of. ;		missions_arrest_escort.txt>1117>I guess, don't go anywhere.;		missions_arrest_escort.txt>1127>That's okay, I think I'll focus on you.;		null;		null;		null;		null;		null;		1213.00;		-821.00
SCRIPT;		1210;		96685;		NPC_ATTACK;		0;		Well, I suggest you charge up those weapons. I am in no mood to fool around with the likes of you. Let's have ourselves a dance.;		True;		missions_arrest_escort.txt>1160>I'll lead...;		null;		null;		null;		null;		null;		1513.00;		-512.00
SCRIPT;		1250;		77936;		NPC_RETREAT;		0;		Yeah, I don't want to talk right now...;		missions_arrest_escort.txt>1255>Hey wait!;		null;		null;		null;		null;		null;		null;		1650.00;		-598.00
SCRIPT;		1255;		48205;		NPC_CHAT;		1265;		Text message;		15;		null;		null;		null;		null;		null;		null;		1882.00;		-600.00
SCRIPT;		510;		35179;		EXIT;		0;		null;		null;		null;		null;		null;		null;		null;		null;		580.18;		-1114.43
SCRIPT;		1265;		18533;		EXIT;		0;		null;		null;		null;		null;		null;		null;		null;		null;		1881.00;		-813.00
SCRIPT;		1127;		57524;		TEXT;		0;		In that case, I should probably call a few more friends to the party. What do you think?;		missions_arrest_escort.txt>1045>Whatever you say.;		null;		null;		null;		null;		null;		null;		1060.00;		-704.00
SCRIPT;		305;		41901;		NPC_ESCORT;		310;		null;		null;		null;		null;		null;		null;		null;		null;		1547.52;		-190.01
