// BACKGROUND EVENTS
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// 0	1		2																3 				4				5						6							7					8					9			10											11			12
//		EVENT	EVENT															EVENT			EVENT			EVENT					EVENT						EVENT				EVENT				EVENT		EVENT										EVENT		EVENT
//		ID		Title															TYPE			CLASS			SUBCLASS				IMAGE						EFFECT				value_1				value_2		value_3										Frequency	description body
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

EVENT;	1;		(PERSON_1) elected in (FACTION_1);								Alpha;			Political;		Election;				event_election.png;			ADJUST_FACTION;		rnd;				rnd;		rnd;										0.20;		(PERSON_1) has been elected to the Local Council in the (FACTION_1) region. (PERSON_1) is well known for his negative stance against the (FACTION_2) faction. (FACTION_1) members will have to be more cautious when traveling the (FACTION_2) Region.
EVENT;	10;		Market demand drops in (FACTION_1) regions;						Labor;			Economic;		Market Demand;			event_market_demand_down.png;	CLEAR_ORDERS;	rnd;				rnd;		rnd;										0.25;		Market demand has dropped in a small number of (FACTION_1) controlled sectors. (PERSON_1), a local official has claimed that with the recent influx of labor, the demand for various goods and services have been met, thus forcing locals to find new jobs.
EVENT;	11;		Demand for Ore falls in (FACTION_1) locations;					Labor;			Economic;		Market Demand;			event_market_demand_down.png;	CLEAR_ORDERS;	rnd;				Ore;		rnd;										0.25;		Market demand has fallen for local ore. The current mining trends have finally met the demands of production. A number of (FACTION_1) stations have been affected. As demand decreases for this ore, profits for these regions have just now started to feel its effect.
EVENT;	12;		Demand for market items fall in (FACTION_1) locations;			Labor;			Economic;		Market Demand;			event_market_demand_down.png;	CLEAR_ORDERS;	rnd;				rnd;		rnd;										0.25;		Market demand has fallen for local ore. The current mining trends have finally met the demands of production. A number of (FACTION_1) stations have been affected. As demand decreases for this ore, profits for these regions have just now started to feel its effect.

EVENT;	15;		Market demand increases for Ore in (FACTION_1) region;			Labor;			Economic;		Market Demand;			event_market_demand_up.png;	ADD_BUY_ORDERS;		small;				Ore;			rnd_faction_id;							0.25;		Market demand has increased for raw local ore. The current mining trends show these buy orders have affected a small number of (FACTION_1) stations. As demand increases for this ore, stability and security will likely spread and boost mining operations in the area. (PERSON_1), a local to the region was quoted saying, 'We knew this was coming, it always goes in cycles.'.
EVENT;	16;		Demand for Weapons rise in (FACTION_1) region;					Law;			Economic;		Market Demand;			event_market_demand_up.png;	ADD_BUY_ORDERS;		medium;				Active Module;	rnd_faction_id;							0.25;		Market demand for Active Modules is on the rise. The current security issues show these buy orders have affected a small number of (FACTION_1) stations. As demand increases for these modules, stability and security will likely spread and boost security operations in the area. (PERSON_1), a local to the region was on record saying, 'About time somebody does something to help us out here.'.
EVENT;	17;		Trade goods are in demand for local (FACTION_1) sectors;		Trade;			Economic;		Market Demand;			event_market_demand_up.png;	ADD_BUY_ORDERS;		large;				Trade Good;		rnd_faction_id;							0.25;		Market demand has increased for trade goods across the region. The current market trends show these buy orders have affected a small number of (FACTION_1) stations. As demand increases for these products, stability and security will likely spread and boost market revenues in the area. (PERSON_1), a local to the region was quoted saying, 'This will help to bring people into our community.'.
EVENT;	18;		Demand increases in (FACTION_1) region;							Trade;			Economic;		Market Demand;			event_market_demand_up.png;	ADD_BUY_ORDERS;		small;				rnd;			rnd_faction_id;							0.25;		Market demand has increased for a number of general items. The current market trends show these buy orders have affected a small number of (FACTION_1) stations. As demand increases for some items, stability and security will likely spread and boost the economy of the area. (PERSON_1), a local to the region was quoted saying, 'We knew this was coming, it always goes in cycles.'.

EVENT;	20;		Market prices stabilize in (FACTION_1) region;					Trade;			Economic;		Market Levels;			event_market_flux.png;		ADJUST_MARKET;		rnd;				bal;		rnd;										0.35;		Market prices have updated to reflect current commercial trends, and this correction has been reported to affect a small number of (FACTION_1) stations. As prices begin to level out, stability and security will boost productivity in the area. (PERSON_1), a local to the region was quoted saying, 'This could be very profitable for my community!'.
EVENT;	21;		(FACTION_1) Reports a slow down in production;					Trade;			Economic;		Market Rise;			event_market_rise.png;		ADJUST_MARKET;		rnd;				+price;		rnd;										0.40;		Market prices in the (FACTION_1) region have been on the rise after the unexpected shutdown of a main production facility in the area. (PERSON_1), the facility Overseer, assured the crowds today, that both sides were working to find a profitable agreement for everyone involved. Production is said to restart next cycle.
EVENT;	22;		Market selloff in (FACTION_1) region;							Trade;			Economic;		Market Drop;			event_market_drop.png;		ADJUST_MARKET;		rnd;				-price;		rnd;										0.25;		With the recent influx of low quality components spreading throughout the (FACTION_1) region, local markets have decided to purge old inventory in hopes of bring back customers. 'The new advertising campaign seems to be working!', said local shop owner (PERSON_1). With a little time, these markets should stabilize, thus promoting growth in the region.
EVENT;	23;		(FACTION_1) Reports an increase in production;					Trade;			Economic;		Supply Rise;			event_market_stock.png;		ADJUST_MARKET;		rnd;				+qty;		rnd;										0.25;		Market supply in the (FACTION_1) region have been on the rise after the re-opening of a main production facility in the area. (PERSON_1), the facility Overseer, assured the crowds today, that both sides were very happy to find a profitable agreement for everyone involved. Production is said to be in full swing.
EVENT;	24;		Market selloff in (FACTION_1) region;							Trade;			Economic;		Supply Drop;			event_market_short.png;		ADJUST_MARKET;		rnd;				-qty;		rnd;										0.25;		With the recent influx of refugees spreading throughout the (FACTION_1) region, local markets have suffered with low supply and empty shelves. These stations are in dire need of resupply if they are expected to continue to sustain the local populations with food and water.
EVENT;	25;		(FACTION_1) Has restocked a number of stations.;				Trade;			Economic;		Supply Rise;			event_market_stock.png;		ADJUST_MARKET;		sector;				+stock;		rnd;										0.25;		Market supply in the (FACTION_1) region have been on the rise after a convoy of transport merchants restocked the area. (PERSON_1), the facility Overseer, assured the crowds today, that both sides were very happy to find a profitable trade agreement for everyone involved.
EVENT;	26;		Restock operation at (STATION_1) has been completed.;			Trade;			Economic;		Supply Rise;			event_market_stock.png;		ADJUST_MARKET;		station;			+stock;		rnd;										0.15;		Market supply at (STATION_1) has been resupplied. (PERSON_1), the facility Overseer, informed the media today that crews are working around the clock to keep our markets supplied.

EVENT;	27;		Market warehouses are filling fast in (FACTION_1) regions;		Labor;			Economic;		Market Demand;			event_market_supply_up.png;	ADD_SELL_ORDERS;	small;				rnd;		rnd_faction_id;								0.40;		Market supply has increased as new production facilities in the (FACTION_1) region become fully operational over the next 2 cycles. It can be expected that local stations will begin to receive additional deliveries of goods and hardware.
EVENT;	28;		Market Sell Orders on the rise in (FACTION_1) regions;			Labor;			Economic;		Market Demand;			event_market_supply_up.png;	ADD_SELL_ORDERS;	medium;				rnd;		rnd_faction_id;								0.40;		Market supply has increased as new production facilities in the (FACTION_1) region become fully operational over the next 2 cycles. It can be expected that local stations will begin to receive additional deliveries of goods and hardware.
EVENT;	29;		Heavy Market Sell orders increases in (FACTION_1) regions;		Labor;			Economic;		Market Demand;			event_market_supply_up.png;	ADD_SELL_ORDERS;	large;				rnd;		rnd_faction_id;								0.35;		Market supply has increased as new production facilities in the (FACTION_1) region become fully operational over the next 2 cycles. It can be expected that local stations will begin to receive additional deliveries of goods and hardware.
EVENT;	30;		Huge Market Sell orders increases in (FACTION_1) regions;		Labor;			Economic;		Market Demand;			event_market_supply_up.png;	ADD_SELL_ORDERS;	huge;				rnd;		rnd_faction_id;								0.25;		Market supply has increased as new production facilities in the (FACTION_1) region become fully operational over the next 2 cycles. It can be expected that local stations will begin to receive additional deliveries of goods and hardware.

EVENT;	31;		(RESOURCE_1) discovered moving through (SECTOR_1);					Labor;			Faction;		Resource Spawn;			event_resources.png;		SECTOR_RESOURCES;	rnd;				rnd;		rnd;										0.30;		Miners of the (SECTOR_1) sector have uncovered a pocket of valuable (RESOURCE_1). Since no faction can lay claim to these riches, those who arrive with the proper mining equipment will reap the benefits of this resource anomaly. Miners in the area have yet to lay claim to any of these resources, so you might want to get started if you plan to take advantage of this opportunity.
EVENT;	32;		Salvage discovered passing through (SECTOR_1);						Labor;			Faction;		Resource Spawn;			event_salvage.png;			SECTOR_SALVAGE;		rnd;				rnd;		rnd;										0.30;		Salvagers of the (SECTOR_1) sector have uncovered a cache of valuable (RESOURCE_1). Since no faction can lay claim to this debris, those who arrive with the proper salvage equipment will reap the benefits of this resource anomaly. Salvagers in the area have yet to lay claim to any of these resources, hurry if you want to take advantage of this opportunity.

EVENT;	40;		Raider spotted in the (FACTION_1) region;						Pirate;			Raiders;		Spawn;					event_raider_alert.png;		RAIDERS;			1;					5;			npc_ship_data_(pirate_escort_1);			0.15;		It has been reported that Raiders have been hiding in the region. It is recommended that all pilots traveling through this area keep their sensors active and weapons hot until the Astrox Security Patrol has time to clear this threat from the area.
EVENT;	41;		Tensions rise in (SECTOR_1). Raiders expected.;					Pirate;			Raiders;		Spawn;					event_raider_alert.png;		RAIDERS;			2;					3;			npc_ship_data_(pirate_escort_1);			0.15;		After the A.S.P. recently left the area, Raiders have decided to return in an attempt to recover some of the loot that they were forced to leave behind. Be very careful when traveling through the (FACTION_1) region, as their exact whereabouts are not currently known.
EVENT;	42;		A gang invaded the (FACTION_1) region;							Pirate;			Raiders;		Spawn;					event_raider_alert.png;		RAIDERS;			5;					2;			npc_ship_data_(pirate_frigate_1);			0.15;		A general warning has been issued for the (FACTION_1) region. Dangerous criminal elements have been reported in the area, and authorities recommend all citizens remain alert at all times. It is recommended that you do not travel alone, and if you do... you should be heavily armed for combat.
EVENT;	43;		Dangerous Raiders take camp in the (FACTION_1) region;			Pirate;			Raiders;		Spawn;					event_raider_alert.png;		RAIDERS;			10;					1;			npc_ship_data_(pirate_escort_1);			0.15;		Dangerous Raiders have been spotted in the (FACTION_1) region. It is important to remain observant when traveling through this area. Law enforcement authorities have been alerted and are currently looking for these raiders.
EVENT;	44;		Crime is on the rise in (SECTOR_1);								Pirate;			Raiders;		Spawn;					event_raider_alert.png;		RAIDERS;			1;					1;			npc_ship_data_(recon_escort_raider);		0.15;		A local hijacking has been reported in the (FACTION_1) region of Astrox. Authorities have investigated the matter and are not commenting on the investigation at this time. They did however ask everyone to remain aware and on guard when traveling through the region.

EVENT;	45;		Raiders launched from local structure;							Pirate;			Raiders;		Spawn at Structure;		event_raider_alert.png;		RAIDERS;			1;					2;			npc_ship_data_(pirate_escort_1);			0.10;		It has been reported that Raiders have launched from the raider hideout. It is recommended that all pilots traveling through this area keep their sensors active and weapons hot until the Astrox Security Patrol has time to clear this threat from the area.
EVENT;	46;		Raider spotted in the (FACTION_1) region;						Pirate;			Raiders;		Force Spawn;			event_raider_alert.png;		RAIDERS;			1;					5;			npc_ship_data_(pirate_escort_1);			0.10;		It has been reported that Raiders have been hiding in the region. It is recommended that all pilots traveling through this area keep their sensors active and weapons hot until the Astrox Security Patrol has time to clear this threat from the area.

EVENT;	50;		(STATION_1) Board of Education receives additional funding;		Alpha;			Research;		Academic;				event_university_up.png;	UNIVERSITY_PRICES;	rnd;				-price;		rnd;										0.10;		(PERSON_1) made a public announcement today at the academic conference at (STATION_1) in the (FACTION_1) region. With additional funding allocated for this station, All classes offered to the general population have been reduced in cost. Hopefully this will encourage people to enroll in the university courses offered at this location.
EVENT;	51;		(STATION_1) Board of Education loses funding;					Alpha;			Research;		Academic;				event_university_down.png;	UNIVERSITY_PRICES;	rnd;				+price;		rnd;										0.10;		(PERSON_1) made a public announcement today at the academic conference at (STATION_1) in the (FACTION_1) region. Due to budget constraints, the courses offered at this university will require additional payments for enrollment. (PERSON_1) was quoted saying 'It is a sad day for all of us educators here at (STATION_1).'.
EVENT;	52;		Balanced Budget at the University of (STATION_1);				Alpha;			Research;		Academic;				event_university_bal.png;	UNIVERSITY_PRICES;	rnd;				bal;		rnd;										0.10;		After a lengthy meeting at the (STATION_1) conference center, (FACTION_1) board members have announced that they have come to an agreement on balancing the academic budget. Some classes will be provided additional resources, by trimming the fat from some of the over-budgeted courses. 

EVENT;	54;		New (SHIPNAME) ship available at (STATION_1) station;			Trade;			Research;		New Ship;				event_new_ship.png;			ADJUST_HANGAR;		rnd;				rnd;		1;											0.25;		With the recent influx of resources pouring into the (FACTION_1) region, local markets have decided to begin production of a few starships. The first of these (SHIPNAME) ships have already reached a number of (FACTION_1) stations, and are currently available for purchase.
EVENT;	55;		New ship available in the (FACTION_1) region;					Trade;			Research;		New Ship;				event_new_ship.png;			ADJUST_HANGAR;		rnd;				rnd;		5;											0.35;		With the recent influx of resources pouring into the (FACTION_1) region, local markets have decided to begin production of a few starships. The first (SHIPNAME) ship has already arrived at (STATION_1), and is currently available for purchase.
EVENT;	56;		(FACTION_1) fabricators deliver new (SHIPNAME) ship.;			Trade;			Research;		New Ship;				event_new_ship.png;			ADJUST_HANGAR;		rnd;				rnd;		rnd;										0.10;		With the recent influx of resources pouring into the (FACTION_1) region, local markets have decided to begin production of a few starships. The first of these (SHIPNAME) ships have already reached a number of (FACTION_1) stations, and are currently available for purchase.
EVENT;	57;		Arrival of (SHIPNAME) ships in (FACTION_1) region;				Trade;			Research;		New Ship;				event_new_ship.png;			ADJUST_HANGAR;		rnd;				rnd;		rnd;										0.15;		With the recent influx of resources pouring into the (FACTION_1) region, local markets have decided to begin production of a few starships. Head to (STATION_1) in the (FACTION_1) region if you would like to check out the new (SHIPNAME).

EVENT;	60;		Security levels in (SECTOR_1) have Risen;						Law;			Security;		Security;				event_security_up.png;		SECURITY_LEVEL;		rnd;				+sec;		rnd;										0.15;		Additional Law Enforcement has been deployed to (SECTOR_1) in the (FACTION_1) region. Commander (PERSON_1) has announced that with the additional forces protecting (SECTOR_1), residents can expect less crime. Commander (PERSON_1) has issued a warning to all would-be raiders and outlaws alike, 'This is no longer a sanctuary for the lawless.'.
EVENT;	61;		(SECTOR_1) Security has dropped;								Law;			Security;		Security;				event_security_down.png;	SECURITY_LEVEL;		rnd;				-sec;		rnd;										0.15;		Resources in (SECTOR_1) have been on a steady decline for some time, causing law enforcement to cut back on its available personnel. With less patrols on the job, crime is expected to rise in the coming weeks. Commander (PERSON_1) proclaimed that without immediate financial assistance, law enforcement will be unable to protect the residents of (SECTOR_1) properly.
EVENT;	62;		Security in (SECTOR_1) has been reviewed;						Law;			Security;		Security;				event_security_bal.png;		SECURITY_LEVEL;		rnd;				bal;		rnd;										0.15;		Law enforcement leaders of the (FACTION_1) region have reviewed the current security status of the (SECTOR_1) sector. Although no additional resources have been allocated to the region, (PERSON_1) believes that the new systems of crime detection, implemented earlier this cycle, will help cull the existing criminal elements in the area.

EVENT;	70;		Food production in (SECTOR_1) has Increased;					Alpha;			Environment;	Environment;			event_food_flux.png;		LIFE_SUPPORT;		rnd;				+up;		food;										0.15;		(PERSON_1) made a statement early this cycle, making the noted increase in the region's food production level. 'It is clear that the season's crop is greatly due to the increase in Starlight we have received.'. With levels like this, everyone can expect a bountiful synth-harvest this season.
EVENT;	71;		Starlight reduction in (SECTOR_1);								Alpha;			Environment;	Environment;			event_food_flux.png;		LIFE_SUPPORT;		rnd;				-down;		food;										0.15;		Scientists in (SECTOR_1) have recorded a significant drop in the levels of starlight throughout the sector. It is not currently known what has caused this reduction in the light emitted from the microstar, but resident remain concerned about food synthesis at the season comes to a close.
EVENT;	72;		Food Synthesis has leveled out in (SECTOR_1);					Alpha;			Environment;	Environment;			event_food_flux.png;		LIFE_SUPPORT;		rnd;				bal;		food;										0.15;		Scientists in the (SECTOR_1) sector are happy to report that the starlight levels are returning to normal. It is not known at this time what caused the recent fluctuations, but is believed that these levels will completely return to normal in the coming cycles.
EVENT;	73;		Atmospheric Hydration of the (SECTOR_1) has risen;				Alpha;			Environment;	Environment;			event_water_flux.png;		LIFE_SUPPORT;		rnd;				+up;		water;										0.15;		Scientists have reported that the atmospheric hydration ratios have risen in recent cycles. (SECTOR_1) has been fairly stable for some time now. It is unknown as to why these changes have occurred, but scientists in the region have promised to continue researching.
EVENT;	74;		Water Crystals in (SECTOR_1) are disappearing;					Alpha;			Environment;	Environment;			event_water_flux.png;		LIFE_SUPPORT;		rnd;				-down;		water;										0.15;		Atmospheric hydration levels have fallen in (SECTOR_1). A number of local scientists have recently started researching this phenomenon. It is guessed that recent changes in solar wind patterns have altered the environment.
EVENT;	75;		Liquid H2O levels are Normalizing in (SECTOR_1);				Alpha;			Environment;	Environment;			event_water_flux.png;		LIFE_SUPPORT;		rnd;				bal;		water;										0.15;		New research has shown that the atmospheric hydration levels of the (SECTOR_1) sector have begun to level out. It has been many cycles since the scientists have been able to measure these levels due to a malfunction at the (PERSON_1) laboratory.
EVENT;	76;		Temperatures rise in (SECTOR_1);								Alpha;			Environment;	Environment;			event_thermal_flux.png;		LIFE_SUPPORT;		rnd;				+up;		thermal;									0.15;		temperatures in the (SECTOR_1) sector are on the rise. Specialists have been tracking the increase and warned the local populace that it may be time to upgrade your thermal life support systems. Local stations have had a hard time keeping thermal regulators in stock after this recent jump in temperature.
EVENT;	77;		(SECTOR_1) Begins to cool;										Alpha;			Environment;	Environment;			event_thermal_flux.png;		LIFE_SUPPORT;		rnd;				-down;		thermal;									0.15;		(SECTOR_1) residents are breaking out the cold weather clothing after a recent drop in the sector's temperature. Scientists are claiming that the local microstar has been affected by recent waves of low level radiation passing through the sector. The temperature is expected to normalize in the coming cycles.
EVENT;	78;		A change of season as (SECTOR_1) temperatures level;			Alpha;			Environment;	Environment;			event_thermal_flux.png;		LIFE_SUPPORT;		rnd;				bal;		thermal;									0.15;		As expected, the temperatures in (SECTOR_1) have begun to return to normal levels. Scientists in the region are confident that things will level out over the next few cycles. (PERSON_1) was quoted when asked about the recent change, 'This was a great opportunity for us to research how our microstar affects our weather patterns here in (SECTOR_1).'.
EVENT;	79;		Waste levels (SECTOR_1) on the rise;							Alpha;			Environment;	Environment;			event_waste_flux.png;		LIFE_SUPPORT;		rnd;				+up;		waste;										0.15;		Local waste management officials are unable to keep space clean in (SECTOR_1). (FACTION_1) officials have been notified and local residents are not happy. With pollution levels this high, it is recommended you have a sufficient waste management system installed on your ships.
EVENT;	80;		A drop in (SECTOR_1)'s waste is commended;						Alpha;			Environment;	Environment;			event_waste_flux.png;		LIFE_SUPPORT;		rnd;				-down;		waste;										0.15;		Officials in (SECTOR_1) are happy to announce that waste levels in the sector have been reduced significantly. This should have to boost tourism and increase the quality of life for all the residents in (SECTOR_1) and the surrounding (FACTION_1) areas.
EVENT;	81;		In (SECTOR_1), Waste levels normalize;							Alpha;			Environment;	Environment;			event_waste_flux.png;		LIFE_SUPPORT;		rnd;				bal;		waste;										0.15;		Waste Management officials have announced that the recent efforts to normalize waste levels in (SECTOR_1), have been successful. (PERSON_1) was credited with leading the effort to study these changes and how they affect the local lifeforms. A request has been made to the (FACTION_1) council for addition research funding.
EVENT;	82;		In (SECTOR_1), a strange energy surge has been detected.;		Alpha;			Environment;	Scientific;				new_wormhole.png;			WORMHOLE_GENERATE;	rnd;				null;		null;										0.15;		Scientists have discovered a strange surge of the energy levels in (SECTOR_1). (PERSON_1), the lead scientist for the investigating research team thinks a wormhole could be present. Initial tests look promising, but the existence of a nearby wormhole has yet to be confirmed. The (FACTION_1) council has called for additional research funding in hopes of determining if a wormhole has spawned in (SECTOR_1).
EVENT;	83;		Energy burst in (SECTOR_1), Locals search for Wormhole.;		Alpha;			Environment;	Scientific;				new_wormhole.png;			WORMHOLE_GENERATE;	rnd;				null;		null;										0.15;		A sudden burst of energy in (SECTOR_1) has locals looking for a possible wormhole. (PERSON_1) is convinced that a wormhole has spawned in the area. Initial tests look promising, but the existence of a nearby wormhole has yet to be confirmed. The (FACTION_1) locals have pulled together funds in hopes of determining if a wormhole has visited their area in (SECTOR_1).

EVENT;	95;		Economic demand cycle peaks in (FACTION_1) Region;				Trade;			Economic;		Economic Demand;		event_market_demand_up.png;	ADD_DEMAND;			0.5;				null;		rnd_faction_id;								0.10;		Market demand has increased for a number of specialized items. The current market trends show these buy orders have affected a small number of (FACTION_1) stations. As demand increases for some items, stability and security will likely spread and boost the economy of the area. (PERSON_1), a local to the region was quoted saying, 'When local stations needs goods, everyone wins.'.
EVENT;	96;		Economic demand increases in (FACTION_1) Region;				Trade;			Economic;		Economic Demand;		event_market_demand_up.png;	ADD_DEMAND;			0.5;				null;		rnd_faction_id;								0.10;		Market demand has increased for a number of specialized items. The current market trends show these buy orders have affected a small number of (FACTION_1) stations. As demand increases for some items, stability and security will likely spread and boost the economy of the area. (PERSON_1), a local to the region was quoted saying, 'When local stations needs goods, everyone wins.'.
EVENT;	97;		Economic demand is boosted across (FACTION_1) Sectors;			Trade;			Economic;		Economic Demand;		event_market_demand_up.png;	ADD_DEMAND;			0.5;				null;		rnd_faction_id;								0.10;		Market demand has increased for a number of specialized items. The current market trends show these buy orders have affected a small number of (FACTION_1) stations. As demand increases for some items, stability and security will likely spread and boost the economy of the area. (PERSON_1), a local to the region was quoted saying, 'When local stations needs goods, everyone wins.'.
EVENT;	98;		Economic demand climbs in (FACTION_1) Region;					Trade;			Economic;		Economic Demand;		event_market_demand_up.png;	ADD_DEMAND;			0.5;				null;		rnd_faction_id;								0.10;		Market demand has increased for a number of specialized items. The current market trends show these buy orders have affected a small number of (FACTION_1) stations. As demand increases for some items, stability and security will likely spread and boost the economy of the area. (PERSON_1), a local to the region was quoted saying, 'When local stations needs goods, everyone wins.'.
EVENT;	99;		Economic demand produces shortage in (FACTION_1) Region;		Trade;			Economic;		Economic Demand;		event_market_demand_up.png;	ADD_DEMAND;			0.5;				null;		rnd_faction_id;								0.10;		Market demand has increased for a number of specialized items. The current market trends show these buy orders have affected a small number of (FACTION_1) stations. As demand increases for some items, stability and security will likely spread and boost the economy of the area. (PERSON_1), a local to the region was quoted saying, 'When local stations needs goods, everyone wins.'.
EVENT;	100;	Economic supply increased across (FACTION_1) Region;			Trade;			Economic;		Economic Supply;		event_market_supply_up.png;	ADD_SUPPLY;			0.5;				null;		rnd_faction_id;								0.10;		Market supply has increased for a number of specialized items. The current market trends show these sell orders have affected a small number of (FACTION_1) stations. As supply increases for some items, stability and security will likely spread and boost the economy of the area. (PERSON_1), a local to the region was quoted saying, 'When local stations produce goods, everyone wins.'.
EVENT;	101;	Economic supply cycle complete in (FACTION_1) Region;			Trade;			Economic;		Economic Supply;		event_market_supply_up.png;	ADD_SUPPLY;			0.5;				null;		rnd_faction_id;								0.10;		Market supply has increased for a number of specialized items. The current market trends show these sell orders have affected a small number of (FACTION_1) stations. As supply increases for some items, stability and security will likely spread and boost the economy of the area. (PERSON_1), a local to the region was quoted saying, 'When local stations produce goods, everyone wins.'.
EVENT;	102;	Economic supply boosted in (FACTION_1) Sectors;					Trade;			Economic;		Economic Supply;		event_market_supply_up.png;	ADD_SUPPLY;			0.5;				null;		rnd_faction_id;								0.10;		Market supply has increased for a number of specialized items. The current market trends show these sell orders have affected a small number of (FACTION_1) stations. As supply increases for some items, stability and security will likely spread and boost the economy of the area. (PERSON_1), a local to the region was quoted saying, 'When local stations produce goods, everyone wins.'.
EVENT;	103;	Economic supply rises in (FACTION_1) Region;					Trade;			Economic;		Economic Supply;		event_market_supply_up.png;	ADD_SUPPLY;			0.5;				null;		rnd_faction_id;								0.10;		Market supply has increased for a number of specialized items. The current market trends show these sell orders have affected a small number of (FACTION_1) stations. As supply increases for some items, stability and security will likely spread and boost the economy of the area. (PERSON_1), a local to the region was quoted saying, 'When local stations produce goods, everyone wins.'.
