//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		2;		START;		UI_CHANGEIMAGE;		3;		female_2.png;		accessory_22.png;		null;		null;		null;		null;		null;		null;		-80.00;		59.00
SCRIPT;		320;		64204;		OPTION;		0;		[s2][cyan]Tutorial introductorio (3 of 3)[/][/s]<br>When you are ready, [lime]CLICK[/] the [yellow]UNDOCK[/] button, and I will be waiting for you on the outside. [n][n]Now is probably a good time to take a look at your [yellow]SHIP STATS[/] panel. Press the [lime]Z key.[/] This will display a bunch of important information about the status of your ship.;		tutorial_intro.txt>310>ATRÁS;		tutorial_intro.txt>600>I'm ready.;		;		null;		null;		null;		null;		1150.00;		-623.00
SCRIPT;		400;		54217;		OPTION;		0;		Hey, glad to see you are back. Are you ready to mine some rocks?;		tutorial_intro.txt>600>Yes, I am ready.;		tutorial_intro.txt>0>Not yet, Maybe later.;		;		null;		null;		null;		null;		925.00;		-205.00
SCRIPT;		610;		14128;		GET_MISSION;		660;		201;		1;		tutorial_intro.txt;		900;		null;		null;		null;		null;		531.63;		-939.16
SCRIPT;		605;		94854;		SET_VALUE;		610;		tutorial_intro;		3;		null;		null;		null;		null;		null;		null;		796.53;		-946.00
SCRIPT;		16;		65918;		CHECK_VALUE;		0;		tutorial_intro;		=;		3;		tutorial_intro.txt>660>IF TRUE;		tutorial_intro.txt>100>IF FALSE;		null;		null;		null;		114.00;		-284.00
SCRIPT;		660;		17325;		TEXT;		0;		[s2][cyan]Tutorial Minería (1 of 7)[/][/s][n]If you haven't [yellow]UNDOCKED[/] yet, do that now. [n]Once your ship is launched, You can orient yourself by rotating and zooming the camera. Each time you dock, or undock from a station or structure, Your pilot data will be recorded (Saved). [n][n][lime]HOLD RIGHT CLICK[/] and [lime]MOVE THE MOUSE[/][n]This will rotate the camera around your ship. [n]Use the [lime]MOUSE WHEEL[/] to zoom in and out. [n][n][lime]ZOOM OUT[/] all the way to view the [yellow]GALAXY MAP[/] or use the [lime](M key)[/]. You can also [lime]ZOOM IN[/] all the way to get a first person view from the ship.;		tutorial_intro.txt>675>NEXT;		null;		null;		null;		null;		null;		null;		112.00;		-466.00
SCRIPT;		675;		75171;		OPTION;		0;		[s2][cyan]Tutorial Minería (2 of 7)[/][/s][n]Once you get comfortable with the camera basics, use the [lime]SPACEBAR[/] will activate the tactical sensors, This will allow you to see mission objects and other important locations. The [lime]SPACEBAR[/] will toggle the tactical sensors when you are undocked and in open space. [n][n][lime]ZOOM[/] out and [lime]ROTATE[/] the camera until you can clearly see the yellow rock in view. [lime]CLICK[/] the Special Adamyte rock to target the object. [lime] DOUBLE CLICK[/] will automatically set your ship to travel to that object.[n][n]Press the [lime](T key)[/] to open the [yellow]TARGETING PANEL[/]. The targeting panel will display all of the active targets your ship is currently tracking. [n][n]Keep in mind, this number is limited, so manage your targets wisely until you can upgrade. Large metal objects like stations, structures and warpgates will be remembered by your ship's computer. You will NOT be required to scan them again.;		tutorial_intro.txt>660>ATRÁS;		tutorial_intro.txt>680>NEXT;		;		null;		null;		null;		null;		112.00;		-587.00
SCRIPT;		680;		78733;		OPTION;		0;		[s2][cyan]Tutorial Minería (3 of 7)[/][/s][n]Once you have the target acquired, there are a few ways of moving your ship to the target. The easiest way to active your [yellow]AUTOPILOT[/], is to [lime]DOUBLE CLICK[/] any item from anywhere. [n][n]This works in Tactical view [lime]SPACEBAR[/], as well as the Map view [lime](M Key)[/]. You can manually toggle the autopilot system by pressing the [lime](E key)[/], or clicking the Autopilot toggle button on the [yellow]AUTOPILOT[/] panel. Some pilots are not a fan of the click and go Autopilot. There is an OPTION under the EXTRAS tab that will allow you to select a scanned target without flying directly towards it instantly.;		tutorial_intro.txt>675>ATRÁS;		tutorial_intro.txt>685>NEXT;		;		null;		null;		null;		null;		114.00;		-678.00
SCRIPT;		685;		72790;		OPTION;		0;		[s2][cyan]Tutorial Minería (4 of 7)[/][/s]<br>You can fly the ship around manually as well. Using [lime]WASD[/] on the keyboard will allow you to control your ship. You can also hold down the [lime]LEFT CLICK[/] button to steer the ship as well. [n][n]Most of the time, you will use autopilot... however there are times when you will want to take over the controls, but we will cover that in the combat tutorial. Right now, let's just focus on harvesting this rock. ;		tutorial_intro.txt>680>ATRÁS;		tutorial_intro.txt>690>NEXT;		;		null;		null;		null;		null;		115.00;		-779.00
SCRIPT;		690;		83475;		OPTION;		0;		[s2][cyan]Tutorial Minería (5 of 7)[/][/s]<br>You should be getting close to that yellow rock by now. Did you forget the [lime]SPACEBAR[/] for a tactical view of the sector? You will have a hard time finding mission objectives without the Tactical Sensors turned on[r]. Once your ship is in range of the asteroid, it will automatically slow down. At this point, you will want to fire up those [orange]Ore Harvester 1[/] by clicking the icon for each one at the bottom center of the screen. They will take a few seconds to cycle through each harvest attempt.[n][n]Press the [lime](TAB key)[/] to open your [yellow]BODEGA[/]. Once the ship is full, your miners will deactivate automatically to save energy.[n][n]As your miners begin to cycle, the durability of each module will slowly drop. If you do not repair these modules at the station garage, they will stop working altogether.;		tutorial_intro.txt>685>ATRÁS;		tutorial_intro.txt>695>NEXT;		;		null;		null;		null;		null;		121.00;		-871.00
SCRIPT;		695;		58293;		OPTION;		0;		[s2][cyan]Tutorial Minería (6 of 7)[/][/s]<br>Once you have mined enough ore, you will notice a notification pop-up informing you that the mission objectives have been completed. For missions, you only need to mine the required amount. When mining for profit, it is not a bad idea to leave a little rock behind, so it can grow back faster.[n][n]If it is a mission, You can also open a special [yellow]MISSION PANEL[/] via the [yellow]SHIP STATS PANEL[/]. You will find this panel in the lower left of the screen, [lime](Z key)[/]. This box will display the mission objects, and the current objectives of the selected mission. [n][n]You can drag this [yellow]MISSION PANEL[/] around on the screen, and you can also resize the window using the resize button in the lower right.;		tutorial_intro.txt>690>ATRÁS;		tutorial_intro.txt>700>NEXT;		;		null;		null;		null;		null;		117.00;		-962.00
SCRIPT;		700;		45761;		OPTION;		0;		[s2][cyan]Tutorial Minería (7 of 7)[/][/s]<br>Now that you have completely harvested the Adamyte, and the mission objective is showing complete...let's head back to the same station to complete the mission I have assigned you. [n][n]Just rotate the camera [lime]RIGHT CLICK + DRAG[/] until you see the station we undocked from.[lime]DOUBLE CLICK[/] on it. Once you click the station, it will scan and pop up on the [yellow]TARGETING PANEL (T key)[/]. Double clicking it will automatically set your ship GPS to that station. Once you are within range, a dock button will appear on the station HUD, and on the targeting panel. [n][n]I will meet you there when you are ready to continue.;		tutorial_intro.txt>695>ATRÁS;		tutorial_intro.txt>0>I will see you at the station.;		;		null;		null;		null;		null;		121.00;		-1049.00
SCRIPT;		900;		START;		UI_CHANGEIMAGE;		901;		female_2.png;		accessory_22.png;		null;		null;		null;		null;		null;		null;		159.95;		-1271.06
SCRIPT;		901;		16545;		UI_NAME;		902;		Jessa Din;		null;		null;		null;		null;		null;		null;		null;		355.57;		-1271.06
SCRIPT;		902;		98745;		UI_CHANGEFACTION_ID;		908;		1;		Alpha;		null;		null;		null;		null;		null;		null;		534.38;		-1269.44
SCRIPT;		905;		24124;		TEXT;		0;		Great work out there. I was getting a bit worried that I pushed you too hard. Wait until my brother finds out. He thought you wouldn't be able to mine that rock on your own. Now he has to repair my modules. [n][n]You probably noticed that all modules slowly take damage over time. You better keep those puppies in good working order at all times. Nothing like breaking a module during combat.;		tutorial_intro.txt>910>No problem at all. What now?;		null;		null;		null;		null;		null;		null;		534.47;		-1046.21
SCRIPT;		910;		27142;		OPTION;		0;		Well, that is it for me I'm afraid. Fredrick should be here any minute now. You can find him at the Tutorial Office. He will walk you through some of the basics of the Combat. [n][n]Anyway, it was really great spending time with you. I feel kind of stupid for asking... but would you mind giving me your autograph? My friends back at 'The Gates' are never going to believe I trained a Newgee today. So what do ya say?;		tutorial_intro.txt>915>Sure why not, maybe it will be worth something one day.;		tutorial_intro.txt>920>That is just too much. I'm sorry, I just can't;		null;		null;		null;		null;		null;		769.20;		-1187.64
SCRIPT;		920;		58374;		TEXT;		0;		Oh that's okay, I figured it couldn't hurt to ask. Anyway, I hope to see you around, and tell my brother he owes me a new water filter for my life support system.;		tutorial_intro.txt>955>No problem.;		null;		null;		null;		null;		null;		null;		950.05;		-1278.22
SCRIPT;		915;		75963;		TEXT;		0;		Wow, Thank you so much. I will hang this in my locker down at the docks. The girls are going to be so jealous. Anyway, thank you again, and take care out there. Oh yeah, tell my brother I won the bet... and boy is he going to regret it.[n][n] Fredrick is hanging out in the station [lime]OFFICES[/]. He will help you learn how some of those fancy combat systems work on your ship. Just take it slow, there is a lot to learn.;		tutorial_intro.txt>916>Thanks for your help.;		null;		null;		null;		null;		null;		null;		948.86;		-1191.61
SCRIPT;		916;		10478;		GET_DOCUMENT;		0;		I have added some addition information into your Pilot's Journal. You can access this document any time you need to. Just open up your [yellow]Pilot's Journal[/] and you will find it under DOCUMENTS. Anyway, you take care out there. Stay safe.;		doc_tutorial_advanced_options_1.txt;		tutorial_intro.txt>955>Thank you.;		null;		null;		null;		null;		null;		947.98;		-1102.90
SCRIPT;		17;		80278;		CHECK_VALUE;		0;		tutorial_intro;		=;		4;		tutorial_intro.txt>1000>IF TRUE;		tutorial_intro.txt>10>IF FALSE;		null;		null;		null;		-77.00;		-245.00
SCRIPT;		1000;		22172;		OPTION;		0;		Hey there stranger, you are back already. I don't suppose you want to run through my tutorial again. I am always available if you want to give it another go.;		tutorial_intro.txt>1010>Yeah sure, why not.;		tutorial_intro.txt>0>No thanks, maybe some other time.;		;		null;		null;		null;		null;		-81.00;		-355.00
SCRIPT;		1010;		57913;		SET_VALUE;		110;		tutorial_intro;		0;		null;		null;		null;		null;		null;		null;		-81.00;		-450.00
SCRIPT;		908;		97054;		SET_VALUE;		905;		tutorial_intro;		4;		null;		null;		null;		null;		null;		null;		536.07;		-1163.79
